Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),buy juul: (United Kingdom),buy iqos: (United Kingdom)
2014-05-25,9,9,18,0,0
2014-06-01,18,9,22,0,0
2014-06-08,14,9,32,0,0
2014-06-15,9,14,28,0,0
2014-06-22,9,18,46,0,0
2014-06-29,0,19,23,0,0
2014-07-06,0,19,28,0,0
2014-07-13,9,0,23,0,0
2014-07-20,14,10,19,0,0
2014-07-27,23,0,28,0,0
2014-08-03,10,19,15,0,0
2014-08-10,9,0,9,0,0
2014-08-17,18,28,18,0,0
2014-08-24,18,18,23,0,0
2014-08-31,18,13,13,0,0
2014-09-07,9,9,27,0,0
2014-09-14,17,13,17,0,0
2014-09-21,13,9,26,0,0
2014-09-28,26,9,21,0,0
2014-10-05,8,17,8,0,0
2014-10-12,0,17,9,0,0
2014-10-19,17,25,17,0,0
2014-10-26,17,0,17,0,0
2014-11-02,33,8,13,0,0
2014-11-09,17,25,12,0,0
2014-11-16,17,13,25,0,0
2014-11-23,40,16,8,0,0
2014-11-30,8,8,29,0,0
2014-12-07,9,17,21,0,0
2014-12-14,18,18,36,0,0
2014-12-21,20,0,20,0,0
2014-12-28,46,9,18,0,0
2015-01-04,12,20,35,0,0
2015-01-11,19,23,31,0,0
2015-01-18,24,28,24,0,0
2015-01-25,23,27,27,0,0
2015-02-01,20,32,20,0,0
2015-02-08,12,36,24,0,0
2015-02-15,16,16,45,0,0
2015-02-22,12,0,24,0,0
2015-03-01,8,8,16,0,0
2015-03-08,24,20,28,0,0
2015-03-15,12,28,28,0,0
2015-03-22,43,22,13,0,0
2015-03-29,12,17,25,0,0
2015-04-05,17,30,57,0,9
2015-04-12,37,8,12,0,0
2015-04-19,25,25,16,0,0
2015-04-26,24,24,32,0,0
2015-05-03,28,24,32,0,0
2015-05-10,32,32,24,0,0
2015-05-17,8,8,24,0,0
2015-05-24,17,25,25,0,0
2015-05-31,16,8,20,0,0
2015-06-07,29,12,25,0,0
2015-06-14,33,8,33,0,8
2015-06-21,16,21,37,0,0
2015-06-28,37,17,29,0,0
2015-07-05,20,28,32,0,0
2015-07-12,20,28,36,0,0
2015-07-19,37,17,29,0,0
2015-07-26,20,24,41,0,0
2015-08-02,17,21,13,0,0
2015-08-09,37,33,33,0,0
2015-08-16,53,29,53,0,0
2015-08-23,24,20,64,0,0
2015-08-30,20,24,28,0,0
2015-09-06,41,0,66,0,0
2015-09-13,40,8,59,0,0
2015-09-20,31,8,27,0,0
2015-09-27,31,16,35,0,0
2015-10-04,35,19,54,0,0
2015-10-11,32,8,43,0,0
2015-10-18,46,15,47,0,0
2015-10-25,27,43,63,0,0
2015-11-01,34,34,53,0,0
2015-11-08,38,54,23,0,0
2015-11-15,38,23,49,0,0
2015-11-22,26,19,26,0,0
2015-11-29,30,26,41,0,0
2015-12-06,42,27,61,0,0
2015-12-13,41,45,29,0,0
2015-12-20,37,42,98,0,0
2015-12-27,56,35,43,0,0
2016-01-03,35,62,69,0,0
2016-01-10,38,23,34,0,0
2016-01-17,43,43,67,0,0
2016-01-24,54,34,54,0,0
2016-01-31,31,12,61,0,0
2016-02-07,23,19,39,0,8
2016-02-14,32,24,32,0,0
2016-02-21,35,27,67,0,0
2016-02-28,50,11,46,0,0
2016-03-06,51,20,20,0,0
2016-03-13,36,8,35,0,0
2016-03-20,40,20,40,0,0
2016-03-27,61,24,56,0,0
2016-04-03,27,66,20,0,0
2016-04-10,55,35,71,0,8
2016-04-17,31,27,51,0,0
2016-04-24,27,27,62,0,0
2016-05-01,32,36,20,0,0
2016-05-08,20,48,52,0,0
2016-05-15,75,59,39,0,0
2016-05-22,41,33,77,0,8
2016-05-29,53,37,82,0,0
2016-06-05,32,41,53,0,0
2016-06-12,31,23,78,0,8
2016-06-19,16,59,67,0,0
2016-06-26,48,28,87,0,0
2016-07-03,33,29,42,0,0
2016-07-10,38,30,51,0,0
2016-07-17,36,18,62,0,0
2016-07-24,13,39,43,0,0
2016-07-31,48,35,66,0,9
2016-08-07,50,18,45,0,0
2016-08-14,41,23,37,9,0
2016-08-21,27,36,72,0,0
2016-08-28,60,30,60,0,0
2016-09-04,46,38,42,0,8
2016-09-11,42,25,47,0,8
2016-09-18,46,33,54,8,0
2016-09-25,29,41,33,0,8
2016-10-02,29,29,45,0,0
2016-10-09,20,16,69,0,0
2016-10-16,57,41,65,0,0
2016-10-23,33,12,61,0,8
2016-10-30,20,45,41,0,0
2016-11-06,39,24,71,8,0
2016-11-13,39,23,43,0,0
2016-11-20,46,30,27,0,0
2016-11-27,19,27,62,0,58
2016-12-04,43,23,39,0,8
2016-12-11,41,24,49,0,8
2016-12-18,26,17,31,0,9
2016-12-25,35,18,75,0,9
2017-01-01,69,50,46,0,0
2017-01-08,33,59,55,0,0
2017-01-15,48,37,30,0,7
2017-01-22,41,26,63,0,7
2017-01-29,40,29,36,0,7
2017-02-05,78,15,45,0,7
2017-02-12,56,22,67,0,0
2017-02-19,22,11,29,7,7
2017-02-26,54,39,64,7,7
2017-03-05,43,29,43,0,14
2017-03-12,47,25,40,0,7
2017-03-19,48,30,37,7,7
2017-03-26,49,23,38,0,8
2017-04-02,50,35,31,8,12
2017-04-09,58,31,39,8,8
2017-04-16,57,27,57,0,8
2017-04-23,51,22,55,0,0
2017-04-30,52,7,52,0,15
2017-05-07,52,19,67,7,7
2017-05-14,53,27,57,0,15
2017-05-21,52,24,52,0,8
2017-05-28,31,32,51,0,8
2017-06-04,49,26,37,0,11
2017-06-11,48,16,28,8,8
2017-06-18,39,15,39,0,0
2017-06-25,39,35,66,0,8
2017-07-02,56,48,48,8,8
2017-07-09,27,16,35,0,16
2017-07-16,31,20,55,8,8
2017-07-23,42,19,35,0,8
2017-07-30,30,53,38,8,8
2017-08-06,58,15,46,0,0
2017-08-13,39,43,58,0,12
2017-08-20,23,31,39,0,15
2017-08-27,28,28,20,0,16
2017-09-03,26,23,34,7,7
2017-09-10,19,15,41,0,11
2017-09-17,30,34,56,0,22
2017-09-24,66,22,40,0,15
2017-10-01,44,15,40,0,7
2017-10-08,18,11,37,0,15
2017-10-15,25,29,29,7,0
2017-10-22,29,26,51,0,15
2017-10-29,47,44,36,0,7
2017-11-05,11,11,65,0,7
2017-11-12,71,25,25,0,0
2017-11-19,35,10,45,0,17
2017-11-26,32,25,50,0,7
2017-12-03,22,22,40,7,15
2017-12-10,33,11,18,0,0
2017-12-17,28,24,40,0,8
2017-12-24,33,12,33,8,16
2017-12-31,22,47,40,7,15
2018-01-07,31,42,14,0,14
2018-01-14,45,17,52,7,10
2018-01-21,49,21,49,7,10
2018-01-28,49,42,35,17,10
2018-02-04,36,39,50,7,0
2018-02-11,54,21,72,7,7
2018-02-18,46,28,39,7,14
2018-02-25,27,20,30,0,20
2018-03-04,31,42,42,7,7
2018-03-11,35,14,35,7,14
2018-03-18,36,14,50,7,11
2018-03-25,37,26,18,11,0
2018-04-01,48,11,44,15,15
2018-04-08,39,21,18,11,7
2018-04-15,26,29,18,0,7
2018-04-22,21,10,38,14,7
2018-04-29,39,11,25,21,0
2018-05-06,29,18,51,11,7
2018-05-13,29,18,15,7,15
2018-05-20,18,18,14,22,7
2018-05-27,43,25,25,14,7
2018-06-03,36,25,36,11,11
2018-06-10,49,21,10,0,0
2018-06-17,43,29,25,7,0
2018-06-24,34,11,30,0,11
2018-07-01,29,26,18,18,7
2018-07-08,54,14,21,14,0
2018-07-15,37,15,37,11,15
2018-07-22,15,15,33,7,18
2018-07-29,29,15,18,11,15
2018-08-05,18,22,22,25,7
