Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),buy juul: (United States),buy iqos: (United States)
2014-05-25,12,5,3,0,0
2014-06-01,9,5,2,0,0
2014-06-08,9,4,2,0,0
2014-06-15,7,6,4,0,0
2014-06-22,8,6,5,0,0
2014-06-29,10,7,3,0,0
2014-07-06,12,6,2,0,0
2014-07-13,9,4,2,0,0
2014-07-20,7,4,2,0,0
2014-07-27,12,8,3,0,0
2014-08-03,8,8,3,0,0
2014-08-10,9,5,3,0,0
2014-08-17,11,6,2,0,0
2014-08-24,10,5,3,0,0
2014-08-31,10,7,2,0,0
2014-09-07,13,6,2,0,0
2014-09-14,13,7,3,0,0
2014-09-21,11,7,2,0,0
2014-09-28,12,6,3,0,0
2014-10-05,13,4,1,0,0
2014-10-12,12,5,3,0,0
2014-10-19,12,9,2,0,0
2014-10-26,7,7,3,1,0
2014-11-02,15,6,3,0,0
2014-11-09,10,7,1,0,0
2014-11-16,14,5,2,0,0
2014-11-23,10,6,4,0,0
2014-11-30,11,5,3,0,0
2014-12-07,16,6,2,0,0
2014-12-14,14,10,3,1,0
2014-12-21,13,9,5,0,0
2014-12-28,14,10,6,1,0
2015-01-04,18,10,3,0,0
2015-01-11,16,6,2,0,0
2015-01-18,18,9,6,0,0
2015-01-25,17,9,3,0,0
2015-02-01,13,9,2,0,0
2015-02-08,14,8,3,0,0
2015-02-15,13,4,3,0,0
2015-02-22,13,10,3,0,0
2015-03-01,19,5,4,0,0
2015-03-08,15,9,4,0,0
2015-03-15,14,8,3,1,0
2015-03-22,19,13,3,0,0
2015-03-29,14,10,2,1,0
2015-04-05,18,9,4,0,0
2015-04-12,23,4,5,0,0
2015-04-19,24,5,4,0,0
2015-04-26,17,5,3,0,1
2015-05-03,13,2,2,1,0
2015-05-10,19,3,3,0,0
2015-05-17,16,5,2,1,0
2015-05-24,15,5,3,0,0
2015-05-31,20,3,3,0,0
2015-06-07,18,5,4,0,1
2015-06-14,15,6,4,0,0
2015-06-21,15,8,2,1,0
2015-06-28,17,7,4,1,0
2015-07-05,25,11,6,1,0
2015-07-12,19,10,3,0,0
2015-07-19,20,8,5,0,1
2015-07-26,19,8,5,1,0
2015-08-02,16,6,4,0,0
2015-08-09,18,8,3,1,0
2015-08-16,19,12,3,1,0
2015-08-23,22,10,3,1,1
2015-08-30,23,7,6,0,0
2015-09-06,30,10,4,0,0
2015-09-13,19,8,5,0,0
2015-09-20,27,8,3,1,1
2015-09-27,26,8,3,1,0
2015-10-04,30,6,4,0,0
2015-10-11,22,8,3,0,0
2015-10-18,20,6,4,1,0
2015-10-25,21,7,4,1,0
2015-11-01,22,11,5,1,0
2015-11-08,29,10,3,0,0
2015-11-15,23,8,3,1,0
2015-11-22,23,7,5,0,0
2015-11-29,19,8,6,2,0
2015-12-06,25,11,5,1,0
2015-12-13,21,7,4,1,0
2015-12-20,28,9,5,0,0
2015-12-27,34,12,4,1,0
2016-01-03,28,11,4,1,0
2016-01-10,21,11,2,0,1
2016-01-17,22,10,2,2,0
2016-01-24,21,7,2,1,1
2016-01-31,30,6,4,2,0
2016-02-07,24,6,2,1,0
2016-02-14,20,7,3,1,0
2016-02-21,21,9,3,1,0
2016-02-28,20,8,3,0,0
2016-03-06,16,7,3,1,0
2016-03-13,17,5,4,1,0
2016-03-20,20,5,4,1,1
2016-03-27,25,8,4,1,1
2016-04-03,21,9,4,2,0
2016-04-10,34,6,5,1,1
2016-04-17,24,7,5,0,0
2016-04-24,17,7,3,1,0
2016-05-01,25,11,5,1,0
2016-05-08,25,7,3,3,0
2016-05-15,25,10,5,2,1
2016-05-22,21,8,4,2,0
2016-05-29,21,10,5,1,1
2016-06-05,15,7,3,3,0
2016-06-12,17,7,4,2,1
2016-06-19,17,4,3,2,0
2016-06-26,15,7,5,2,0
2016-07-03,18,5,5,3,0
2016-07-10,17,7,4,3,0
2016-07-17,16,6,4,1,1
2016-07-24,20,5,6,0,1
2016-07-31,15,5,4,2,0
2016-08-07,15,4,4,1,1
2016-08-14,18,4,4,2,1
2016-08-21,11,2,3,2,0
2016-08-28,13,4,3,2,0
2016-09-04,16,5,4,3,1
2016-09-11,14,6,4,3,1
2016-09-18,16,6,3,1,1
2016-09-25,29,6,5,3,1
2016-10-02,15,7,5,4,1
2016-10-09,18,6,3,2,0
2016-10-16,15,7,4,2,1
2016-10-23,16,6,2,3,2
2016-10-30,17,8,3,2,0
2016-11-06,14,6,3,3,0
2016-11-13,18,5,3,3,1
2016-11-20,12,4,2,4,0
2016-11-27,15,7,3,5,1
2016-12-04,15,6,3,2,0
2016-12-11,14,6,4,3,0
2016-12-18,15,4,5,5,0
2016-12-25,17,5,4,5,1
2017-01-01,15,3,4,3,1
2017-01-08,20,8,5,6,1
2017-01-15,21,7,4,5,0
2017-01-22,19,7,3,6,1
2017-01-29,19,6,2,6,1
2017-02-05,21,6,4,7,1
