Category: All categories

Month,what is vaping: (Canada),is vaping safe: (Canada),vaping shop: (Canada),vaping device: (Canada)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,0,0,0,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,0,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,0,0,0,0
2006-06,0,0,0,0
2006-07,0,0,0,0
2006-08,0,0,0,0
2006-09,0,0,0,0
2006-10,0,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,0,0,0,0
2007-04,0,0,0,0
2007-05,0,0,0,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,0,0,0
2007-10,0,0,0,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,0,0,0,0
2008-02,0,0,0,0
2008-03,0,0,0,0
2008-04,0,0,0,0
2008-05,0,0,0,0
2008-06,0,0,0,0
2008-07,0,0,0,0
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,9,0,0,0
2009-02,0,0,0,0
2009-03,0,0,0,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,0,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,0,0,0,0
2010-02,0,0,0,0
2010-03,0,0,0,0
2010-04,7,0,0,0
2010-05,8,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,7,0,0,0
2010-09,0,0,0,0
2010-10,0,0,0,0
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,0,0,0,0
2011-02,5,0,0,0
2011-03,0,0,0,0
2011-04,5,5,0,0
2011-05,0,0,0,0
2011-06,0,0,0,0
2011-07,5,5,0,0
2011-08,5,0,0,0
2011-09,0,0,0,0
2011-10,0,5,0,0
2011-11,5,0,0,0
2011-12,0,0,0,0
2012-01,0,0,0,0
2012-02,0,0,0,0
2012-03,0,0,0,0
2012-04,4,0,0,0
2012-05,4,0,0,0
2012-06,7,0,0,0
2012-07,9,9,0,0
2012-08,0,0,0,0
2012-09,4,0,4,0
2012-10,4,0,0,0
2012-11,0,0,0,0
2012-12,0,0,4,0
2013-01,0,0,0,0
2013-02,8,0,4,0
2013-03,7,3,0,0
2013-04,3,3,0,0
2013-05,7,3,0,0
2013-06,7,0,0,0
2013-07,4,0,0,0
2013-08,3,0,4,0
2013-09,3,3,0,0
2013-10,5,3,0,0
2013-11,5,0,7,0
2013-12,5,5,3,3
2014-01,8,8,9,0
2014-02,7,5,5,7
2014-03,11,4,5,0
2014-04,16,4,6,3
2014-05,15,8,3,5
2014-06,10,6,8,0
2014-07,8,9,4,0
2014-08,9,6,8,0
2014-09,5,5,9,0
2014-10,15,9,5,3
2014-11,16,6,5,0
2014-12,15,8,4,4
2015-01,26,10,9,3
2015-02,17,11,4,0
2015-03,20,10,9,0
2015-04,17,11,11,3
2015-05,12,8,5,3
2015-06,32,19,6,10
2015-07,25,13,18,3
2015-08,30,21,10,3
2015-09,38,16,14,0
2015-10,46,16,8,3
2015-11,42,18,10,3
2015-12,40,25,13,0
2016-01,59,17,7,3
2016-02,41,15,11,3
2016-03,40,20,19,3
2016-04,73,13,5,5
2016-05,41,14,9,5
2016-06,44,13,6,3
2016-07,21,13,5,4
2016-08,23,17,6,0
2016-09,37,15,10,10
2016-10,29,24,10,6
2016-11,45,9,4,3
2016-12,35,11,7,6
2017-01,46,15,12,3
2017-02,39,18,12,5
2017-03,42,11,11,3
2017-04,43,16,6,0
2017-05,42,13,5,3
2017-06,46,14,5,3
2017-07,33,9,10,7
2017-08,41,22,9,6
2017-09,56,21,7,0
2017-10,54,18,6,3
2017-11,56,13,12,3
2017-12,67,7,6,3
2018-01,65,17,14,4
2018-02,49,15,8,5
2018-03,58,11,11,0
2018-04,57,17,13,3
2018-05,49,21,5,8
2018-06,50,17,4,3
2018-07,52,13,9,7
2018-08,34,15,9,0
2018-09,71,25,6,6
2018-10,100,28,14,3
2018-11,84,24,11,3
2018-12,77,16,6,11
2019-01,81,21,14,4
2019-02,100,12,11,6
2019-03,84,18,11,4
2019-04,88,16,8,5
2019-05,95,5,20,5
