Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2014-01-05,39,20,39,19
2014-01-12,29,78,49,19
2014-01-19,19,39,32,0
2014-01-26,39,29,29,0
2014-02-02,100,20,20,20
2014-02-09,39,19,26,39
2014-02-16,27,30,34,0
2014-02-23,29,29,46,0
2014-03-02,40,20,50,0
2014-03-09,20,33,40,20
2014-03-16,20,30,50,0
2014-03-23,29,29,29,0
2014-03-30,39,53,53,0
2014-04-06,20,27,20,20
2014-04-13,0,22,43,22
2014-04-20,20,60,33,0
2014-04-27,26,39,20,20
2014-05-04,20,30,33,0
2014-05-11,40,30,20,0
2014-05-18,0,42,21,0
2014-05-25,0,22,37,0
2014-06-01,33,33,55,22
2014-06-08,60,23,75,0
2014-06-15,38,34,57,0
2014-06-22,45,45,80,23
2014-06-29,45,46,69,0
2014-07-06,68,34,45,0
2014-07-13,45,45,60,0
2014-07-20,47,23,55,0
2014-07-27,38,23,60,0
2014-08-03,36,40,48,0
2014-08-10,22,67,44,0
2014-08-17,45,38,90,22
2014-08-24,22,45,45,23
2014-08-31,33,44,44,0
2014-09-07,37,44,51,0
2014-09-14,28,21,32,0
2014-09-21,32,22,36,0
2014-09-28,28,42,42,0
2014-10-05,0,28,35,0
2014-10-12,62,28,21,0
2014-10-19,31,62,42,42
2014-10-26,32,42,32,0
2014-11-02,41,51,48,20
2014-11-09,54,20,41,0
2014-11-16,34,41,90,21
2014-11-23,53,39,53,20
2014-11-30,34,34,88,0
2014-12-07,21,21,42,0
2014-12-14,51,0,51,0
2014-12-21,50,25,99,25
2014-12-28,75,22,75,22
