Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2014-01-05,17,9,21,9
2014-01-12,8,13,8,0
2014-01-19,9,21,13,0
2014-01-26,0,13,21,17
2014-02-02,27,13,18,9
2014-02-09,17,9,17,9
2014-02-16,13,18,13,0
2014-02-23,9,9,17,0
2014-03-02,17,22,9,0
2014-03-09,9,9,22,0
2014-03-16,13,13,22,0
2014-03-23,17,9,17,0
2014-03-30,18,26,18,0
2014-04-06,9,27,18,0
2014-04-13,10,10,33,10
2014-04-20,0,9,18,0
2014-04-27,17,13,13,9
2014-05-04,13,17,9,0
2014-05-11,9,26,18,0
2014-05-18,9,9,9,9
2014-05-25,20,20,15,0
2014-06-01,19,15,24,0
2014-06-08,20,10,25,0
2014-06-15,15,10,41,0
2014-06-22,15,15,30,0
2014-06-29,0,15,25,0
2014-07-06,10,20,15,0
2014-07-13,10,20,10,10
2014-07-20,15,20,15,0
2014-07-27,10,0,20,0
2014-08-03,10,16,16,0
2014-08-10,10,0,10,0
2014-08-17,20,40,20,10
2014-08-24,20,10,10,10
2014-08-31,14,10,14,10
2014-09-07,14,14,29,0
2014-09-14,9,9,9,0
2014-09-21,9,9,14,0
2014-09-28,14,14,23,0
2014-10-05,14,23,18,0
2014-10-12,14,14,9,0
2014-10-19,37,27,27,18
2014-10-26,0,9,19,0
2014-11-02,23,27,23,18
2014-11-09,9,13,13,0
2014-11-16,9,14,45,9
2014-11-23,17,9,13,0
2014-11-30,18,18,36,0
2014-12-07,19,19,19,0
2014-12-14,29,0,19,0
2014-12-21,22,0,16,0
2014-12-28,34,20,49,0
2015-01-04,13,34,26,9
2015-01-11,17,21,25,0
2015-01-18,17,30,34,8
2015-01-25,17,42,30,0
2015-02-01,21,26,26,0
2015-02-08,22,35,17,0
2015-02-15,44,13,22,0
2015-02-22,13,9,21,0
2015-03-01,13,13,13,0
2015-03-08,30,13,17,0
2015-03-15,22,30,26,0
2015-03-22,33,14,14,0
2015-03-29,18,13,36,0
2015-04-05,37,37,42,0
2015-04-12,31,0,22,0
2015-04-19,18,18,13,9
2015-04-26,26,21,38,0
2015-05-03,30,13,21,0
2015-05-10,9,26,39,13
2015-05-17,18,9,39,0
2015-05-24,14,27,50,0
2015-05-31,17,17,43,0
2015-06-07,35,13,40,0
2015-06-14,31,13,44,9
2015-06-21,22,18,40,9
2015-06-28,40,27,53,9
2015-07-05,35,13,35,9
2015-07-12,26,26,40,0
2015-07-19,27,18,36,0
2015-07-26,18,22,13,0
2015-08-02,36,27,32,9
2015-08-09,53,35,35,0
2015-08-16,67,27,62,0
2015-08-23,30,39,52,9
2015-08-30,26,31,35,9
2015-09-06,44,9,66,0
2015-09-13,34,17,47,9
2015-09-20,26,25,13,17
2015-09-27,30,8,60,0
2015-10-04,46,50,46,0
2015-10-11,34,17,47,0
2015-10-18,29,34,38,0
2015-10-25,34,42,51,0
2015-11-01,49,12,53,0
2015-11-08,74,41,37,17
2015-11-15,29,16,49,0
2015-11-22,24,24,40,0
2015-11-29,36,28,44,0
2015-12-06,55,38,63,0
2015-12-13,58,53,45,0
2015-12-20,30,20,65,10
2015-12-27,98,33,56,0
2016-01-03,21,75,50,0
2016-01-10,54,45,54,0
2016-01-17,59,30,51,0
2016-01-24,62,25,58,0
2016-01-31,25,0,42,8
2016-02-07,34,13,42,0
2016-02-14,56,17,60,0
2016-02-21,38,25,55,17
2016-02-28,58,8,37,0
2016-03-06,43,26,38,9
2016-03-13,30,22,43,9
2016-03-20,43,35,52,0
2016-03-27,48,39,48,9
2016-04-03,34,51,34,0
2016-04-10,51,47,55,8
2016-04-17,38,21,64,8
2016-04-24,54,33,100,0
2016-05-01,51,34,43,0
2016-05-08,39,56,43,9
2016-05-15,81,64,60,0
2016-05-22,57,26,83,9
2016-05-29,40,31,71,0
2016-06-05,61,70,52,0
2016-06-12,51,30,55,0
2016-06-19,30,38,64,8
2016-06-26,69,43,91,9
2016-07-03,45,36,55,9
2016-07-10,23,36,46,0
2016-07-17,39,39,72,0
2016-07-24,23,37,74,9
2016-07-31,43,43,81,0
2016-08-07,39,39,44,0
2016-08-14,40,35,45,10
2016-08-21,29,29,53,0
2016-08-28,65,23,65,0
2016-09-04,37,32,27,0
2016-09-11,55,55,46,9
2016-09-18,41,18,59,0
2016-09-25,44,44,31,0
2016-10-02,53,40,62,9
2016-10-09,26,35,70,0
2016-10-16,49,35,71,0
2016-10-23,53,13,71,9
2016-10-30,26,66,57,0
2016-11-06,59,30,55,13
2016-11-13,67,25,50,0
2016-11-20,53,37,33,8
2016-11-27,34,25,84,0
2016-12-04,38,17,34,8
2016-12-11,40,31,44,9
2016-12-18,28,28,38,0
2016-12-25,43,19,76,10
