Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2014-01-05,35,11,6,2
2014-01-12,20,21,5,0
2014-01-19,25,11,6,0
2014-01-26,25,7,6,5
2014-02-02,27,14,13,0
2014-02-09,30,14,4,0
2014-02-16,24,18,4,0
2014-02-23,29,11,11,5
2014-03-02,29,18,5,2
2014-03-09,32,10,9,0
2014-03-16,30,20,5,0
2014-03-23,27,23,6,0
2014-03-30,32,17,5,0
2014-04-06,24,15,5,0
2014-04-13,28,13,3,0
2014-04-20,30,13,8,0
2014-04-27,45,17,2,2
2014-05-04,31,18,8,0
2014-05-11,18,18,8,0
2014-05-18,33,19,4,0
2014-05-25,34,18,10,3
2014-06-01,30,13,6,0
2014-06-08,23,12,7,3
2014-06-15,27,22,10,0
2014-06-22,28,21,7,0
2014-06-29,40,12,6,3
2014-07-06,38,7,12,4
2014-07-13,28,13,13,3
2014-07-20,25,19,3,3
2014-07-27,45,20,10,3
2014-08-03,23,15,6,0
2014-08-10,26,23,7,3
2014-08-17,20,13,6,0
2014-08-24,29,18,6,3
2014-08-31,17,14,10,3
2014-09-07,37,28,3,0
2014-09-14,39,15,4,3
2014-09-21,37,22,9,0
2014-09-28,29,18,8,0
2014-10-05,31,4,5,0
2014-10-12,34,12,8,0
2014-10-19,23,20,9,0
2014-10-26,27,27,12,3
2014-11-02,27,12,5,0
2014-11-09,35,27,5,3
2014-11-16,40,15,9,3
2014-11-23,35,16,7,3
2014-11-30,33,22,4,3
2014-12-07,40,16,11,0
2014-12-14,40,35,14,0
2014-12-21,32,31,5,0
2014-12-28,42,16,19,3
2015-01-04,46,31,9,0
2015-01-11,40,23,8,0
2015-01-18,44,28,0,3
2015-01-25,44,22,8,3
2015-02-01,32,23,9,0
2015-02-08,40,25,9,0
2015-02-15,38,25,10,0
2015-02-22,31,19,9,3
2015-03-01,51,10,13,3
2015-03-08,40,24,16,3
2015-03-15,33,12,5,0
2015-03-22,39,44,9,3
2015-03-29,28,32,11,3
2015-04-05,49,26,10,0
2015-04-12,51,13,8,5
2015-04-19,47,19,11,3
2015-04-26,50,9,11,3
2015-05-03,40,6,15,0
2015-05-10,57,13,11,0
2015-05-17,38,13,10,3
2015-05-24,51,21,10,9
2015-05-31,60,14,3,3
2015-06-07,44,10,10,6
2015-06-14,49,13,14,6
2015-06-21,53,29,6,3
2015-06-28,44,15,12,0
2015-07-05,64,30,20,0
2015-07-12,42,26,19,3
2015-07-19,64,20,19,3
2015-07-26,70,27,9,0
2015-08-02,42,20,9,3
2015-08-09,54,24,11,3
2015-08-16,46,32,8,3
2015-08-23,61,21,8,3
2015-08-30,54,25,18,3
2015-09-06,73,30,12,3
2015-09-13,55,23,11,3
2015-09-20,62,15,12,0
2015-09-27,66,20,9,0
2015-10-04,80,23,12,3
2015-10-11,80,16,9,3
2015-10-18,58,18,9,3
2015-10-25,79,14,8,3
2015-11-01,54,19,12,3
2015-11-08,75,24,10,3
2015-11-15,72,18,10,3
2015-11-22,59,17,13,3
2015-11-29,57,14,16,2
2015-12-06,61,29,14,0
2015-12-13,63,23,9,3
2015-12-20,64,30,15,3
2015-12-27,100,26,17,0
