Category: All categories

Month,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,0,0,0,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,0,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,0,0,0,0
2006-06,0,0,0,0
2006-07,0,0,0,0
2006-08,0,0,0,0
2006-09,0,0,0,0
2006-10,0,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,0,0,0,0
2007-04,0,0,0,0
2007-05,0,0,0,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,0,0,0
2007-10,0,0,0,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,0,0,0,0
2008-02,0,0,0,0
2008-03,0,0,0,0
2008-04,0,0,0,0
2008-05,0,0,0,0
2008-06,0,0,0,0
2008-07,0,0,0,0
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,2,0,0,0
2009-01,0,0,0,0
2009-02,2,0,0,0
2009-03,0,0,2,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,2,0,0,0
2009-07,2,0,0,0
2009-08,2,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,1,0,1,0
2010-02,0,0,0,0
2010-03,1,0,0,0
2010-04,0,0,0,0
2010-05,1,0,0,0
2010-06,2,1,0,0
2010-07,1,0,1,0
2010-08,1,0,0,0
2010-09,1,0,0,1
2010-10,0,0,0,0
2010-11,0,0,0,0
2010-12,2,1,2,0
2011-01,1,1,0,1
2011-02,2,0,0,1
2011-03,0,1,0,0
2011-04,0,2,0,0
2011-05,2,1,0,0
2011-06,0,2,0,1
2011-07,2,2,0,0
2011-08,2,0,1,0
2011-09,1,0,0,0
2011-10,2,1,0,0
2011-11,2,1,1,0
2011-12,2,1,1,0
2012-01,1,0,1,0
2012-02,1,1,0,0
2012-03,1,2,1,1
2012-04,2,0,0,0
2012-05,2,2,1,0
2012-06,2,1,1,0
2012-07,2,1,1,1
2012-08,3,1,1,0
2012-09,2,2,0,1
2012-10,3,1,1,0
2012-11,1,2,1,1
2012-12,2,1,1,1
2013-01,5,4,1,1
2013-02,4,3,2,1
2013-03,5,3,3,1
2013-04,6,4,1,1
2013-05,9,2,1,1
2013-06,8,5,2,0
2013-07,11,8,4,1
2013-08,13,7,5,1
2013-09,15,6,3,1
2013-10,16,8,4,1
2013-11,16,11,6,3
2013-12,20,13,5,1
2014-01,22,11,6,1
2014-02,28,11,7,1
2014-03,34,20,7,1
2014-04,26,18,5,1
2014-05,25,14,4,0
2014-06,24,11,5,0
2014-07,23,16,7,2
2014-08,28,15,6,1
2014-09,32,18,7,1
2014-10,30,14,8,1
2014-11,33,16,5,1
2014-12,37,22,7,1
2015-01,40,27,7,1
2015-02,39,23,5,1
2015-03,36,20,7,1
2015-04,46,19,9,1
2015-05,40,9,8,1
2015-06,44,16,10,4
2015-07,46,22,12,1
2015-08,48,25,8,1
2015-09,51,20,9,1
2015-10,69,16,11,1
2015-11,54,21,8,1
2015-12,59,22,14,1
2016-01,58,23,8,1
2016-02,57,16,10,1
2016-03,48,19,7,1
2016-04,62,22,11,1
2016-05,66,22,14,2
2016-06,45,16,9,1
2016-07,45,17,10,1
2016-08,33,13,9,1
2016-09,44,12,9,18
2016-10,42,14,6,5
2016-11,35,15,7,1
2016-12,37,13,8,1
2017-01,50,17,8,1
2017-02,45,17,7,3
2017-03,48,12,8,1
2017-04,50,11,9,1
2017-05,52,16,9,2
2017-06,45,11,9,1
2017-07,41,13,9,1
2017-08,43,11,10,2
2017-09,50,15,7,3
2017-10,68,17,9,2
2017-11,80,21,8,2
2017-12,85,13,11,3
2018-01,90,16,11,6
2018-02,93,17,12,4
2018-03,86,18,11,3
2018-04,89,18,9,3
2018-05,70,27,11,3
2018-06,66,22,10,3
2018-07,55,19,9,5
2018-08,60,22,9,3
2018-09,79,28,10,4
2018-10,79,21,8,5
2018-11,100,21,9,7
2018-12,85,23,10,3
2019-01,91,20,11,6
2019-02,92,22,6,7
2019-03,99,23,10,5
2019-04,88,18,8,4
2019-05,92,21,10,5
