Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2016-01-03,49,52,63,8
2016-01-10,52,33,27,8
2016-01-17,47,42,56,0
2016-01-24,47,30,60,8
2016-01-31,36,12,38,8
2016-02-07,50,28,53,0
2016-02-14,51,11,37,8
2016-02-21,56,45,59,0
2016-02-28,52,25,44,0
2016-03-06,34,23,25,0
2016-03-13,28,23,37,8
2016-03-20,63,30,61,9
2016-03-27,60,43,37,0
2016-04-03,28,42,33,8
2016-04-10,59,42,67,8
2016-04-17,37,21,56,17
2016-04-24,55,28,41,0
2016-05-01,39,51,37,8
2016-05-08,57,54,46,0
2016-05-15,62,57,48,17
2016-05-22,41,26,93,0
2016-05-29,44,53,100,9
2016-06-05,46,46,58,9
2016-06-12,28,33,56,0
2016-06-19,37,28,56,0
2016-06-26,54,30,57,9
2016-07-03,42,18,54,9
2016-07-10,24,33,24,0
2016-07-17,41,28,92,0
2016-07-24,27,40,76,0
2016-07-31,34,37,63,0
2016-08-07,29,16,45,10
2016-08-14,55,20,75,10
2016-08-21,32,26,67,10
2016-08-28,58,49,67,9
2016-09-04,51,21,33,0
2016-09-11,45,18,51,0
2016-09-18,39,30,68,9
2016-09-25,41,47,44,18
2016-10-02,35,29,67,9
2016-10-09,26,26,55,9
2016-10-16,53,38,70,9
2016-10-23,58,32,76,9
2016-10-30,46,52,55,0
2016-11-06,50,22,58,17
2016-11-13,38,16,50,8
2016-11-20,41,22,38,8
2016-11-27,47,36,55,8
2016-12-04,30,19,41,8
2016-12-11,35,29,43,9
2016-12-18,43,25,40,0
2016-12-25,44,28,66,0
