Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),vaping device: (United States)
2015-01-04,73,36,10,3
2015-01-11,46,22,13,3
2015-01-18,48,26,9,3
2015-01-25,48,24,6,0
2015-02-01,32,18,6,3
2015-02-08,54,18,6,0
2015-02-15,44,17,6,6
2015-02-22,36,32,14,6
2015-03-01,43,25,13,0
2015-03-08,44,21,16,0
2015-03-15,43,33,6,0
2015-03-22,49,32,10,0
2015-03-29,44,32,5,3
2015-04-05,54,24,7,3
2015-04-12,73,13,10,3
2015-04-19,48,19,7,0
2015-04-26,48,18,10,0
2015-05-03,41,9,12,0
2015-05-10,64,14,8,0
2015-05-17,48,17,3,0
2015-05-24,52,14,13,0
2015-05-31,84,16,8,3
2015-06-07,54,10,11,6
2015-06-14,47,17,14,0
2015-06-21,48,25,11,3
2015-06-28,59,16,20,7
2015-07-05,82,28,16,3
2015-07-12,61,27,16,0
2015-07-19,61,21,14,3
2015-07-26,52,27,5,0
2015-08-02,54,21,11,3
2015-08-09,61,20,13,0
2015-08-16,46,31,12,3
2015-08-23,66,18,11,3
2015-08-30,60,18,16,0
2015-09-06,69,30,3,0
2015-09-13,71,29,6,0
2015-09-20,92,20,16,0
2015-09-27,73,16,7,3
2015-10-04,80,16,14,3
2015-10-11,70,22,4,6
2015-10-18,72,25,10,0
2015-10-25,73,23,14,3
2015-11-01,69,27,18,0
2015-11-08,86,30,13,3
2015-11-15,88,25,7,8
2015-11-22,68,25,12,0
2015-11-29,41,19,11,3
2015-12-06,69,30,17,0
2015-12-13,76,26,16,0
2015-12-20,63,38,10,0
2015-12-27,100,32,17,3
